years,2011,2012,2013,2014,2015,2016,au_num,
mod-0,5,5,6,3,8,6,555
mod-1,30,14,17,10,16,9,557
mod-2,6,4,7,11,10,9,362
mod-3,1,0,0,0,0,0,17
mod-4,19,13,16,13,10,11,462
mod-5,51,64,47,53,43,39,1103
mod-6,1,0,0,0,0,0,4
mod-7,16,19,40,30,30,32,691
mod-8,560,614,676,694,740,838,8508
mod-9,19,15,17,13,11,14,402
mod-10,14,4,8,5,20,10,637
mod-11,12,13,31,15,6,21,494
mod-12,6,18,20,20,13,24,528
mod-13,94,90,92,83,100,82,1805
mod-14,192,255,271,270,248,243,5525
mod-15,674,654,699,732,745,717,6047
mod-16,1,0,1,0,0,1,20
mod-17,2,0,0,0,0,0,7
mod-18,76,99,89,99,121,151,1721
mod-19,19,8,13,7,13,17,514
mod-20,1,2,0,0,0,0,18
mod-21,72,67,92,110,90,121,2987
mod-22,66,56,60,54,57,60,1251
mod-23,1,1,1,0,0,0,3
mod-24,30,28,29,31,29,44,670
mod-25,1,1,0,0,0,1,7
mod-26,4,1,0,0,2,0,8
mod-27,1,0,0,0,0,0,5
mod-28,0,1,0,0,0,0,13
mod-29,3,4,5,11,5,13,355
mod-30,1,0,0,0,0,0,4
mod-31,1,0,0,0,0,0,7
mod-32,1,0,0,0,0,0,3
mod-33,9,16,13,13,21,26,587
mod-34,1,0,0,0,0,0,3
mod-35,1,0,0,0,0,0,3
mod-36,36,39,46,49,54,44,1160
mod-37,18,17,21,16,28,33,854
mod-38,1,0,0,0,0,0,7
mod-39,2,0,0,0,0,0,11
mod-40,1,0,0,0,1,0,2
mod-41,1,0,0,0,0,0,5
mod-42,1,0,0,0,1,0,14
mod-43,1,0,0,0,0,0,3
mod-44,1,0,1,0,0,0,12
mod-45,1,0,0,0,0,0,3
mod-46,1,0,0,0,0,0,3
mod-47,1,0,1,0,1,0,7
mod-48,1,0,0,0,0,0,2
mod-49,1,0,0,0,0,0,7
mod-50,1,0,0,0,0,0,12
mod-51,1,0,0,0,0,0,25
mod-52,1,0,0,0,0,0,10
mod-53,1,0,0,0,0,0,3
mod-54,1,0,0,0,0,0,4
mod-55,1,0,0,0,0,0,5
