0,1,6
0,1628,1
0,1456,1
0,1629,1
1,1628,4
1,1456,4
1,1629,4
1628,1456,4
1628,1629,4
1456,1629,4
0,12791,1
0,9108,1
1,12791,2
1,9108,3
12791,9108,7
0,4942,1
0,173,1
0,4943,1
0,4944,1
0,176,1
0,175,1
0,4945,1
0,7323,1
0,3842,1
1,4942,1
1,173,1
1,4943,1
1,4944,1
1,176,1
1,175,1
1,4945,1
1,7323,1
1,3842,1
4942,173,7
4942,4943,7
4942,4944,7
4942,176,7
4942,175,7
4942,4945,7
4942,7323,1
4942,3842,1
173,4943,8
173,4944,7
173,176,25
173,175,15
173,4945,7
173,7323,1
173,3842,1
4943,4944,7
4943,176,8
4943,175,7
4943,4945,7
4943,7323,1
4943,3842,1
4944,176,7
4944,175,7
4944,4945,7
4944,7323,1
4944,3842,1
176,175,20
176,4945,8
176,7323,1
176,3842,1
175,4945,8
175,7323,2
175,3842,2
4945,7323,1
4945,3842,2
7323,3842,17
0,7132,1
0,7133,1
0,7134,1
0,7135,1
0,7136,1
0,7137,1
0,7138,1
0,7139,1
0,7140,1
0,7141,1
0,7142,1
0,7143,1
0,7144,1
0,7145,1
1,7132,1
1,7133,1
1,7134,1
1,7135,1
1,7136,1
1,7137,1
1,7138,1
1,7139,1
1,7140,1
1,7141,1
1,7142,1
1,7143,1
1,7144,1
1,7145,1
7132,7133,10
7132,7134,10
7132,7135,10
7132,7136,10
7132,7137,10
7132,7138,10
7132,7139,10
7132,7140,10
7132,7141,10
7132,7142,10
7132,7143,10
7132,7144,10
7132,7145,10
7133,7134,10
7133,7135,10
7133,7136,10
7133,7137,10
7133,7138,10
7133,7139,10
7133,7140,10
7133,7141,10
7133,7142,10
7133,7143,10
7133,7144,10
7133,7145,10
7134,7135,10
7134,7136,10
7134,7137,10
7134,7138,10
7134,7139,10
7134,7140,10
7134,7141,10
7134,7142,10
7134,7143,10
7134,7144,10
7134,7145,10
7135,7136,10
7135,7137,10
7135,7138,10
7135,7139,10
7135,7140,10
7135,7141,10
7135,7142,10
7135,7143,10
7135,7144,10
7135,7145,10
7136,7137,10
7136,7138,10
7136,7139,10
7136,7140,10
7136,7141,10
7136,7142,10
7136,7143,10
7136,7144,10
7136,7145,10
7137,7138,10
7137,7139,10
7137,7140,10
7137,7141,10
7137,7142,10
7137,7143,10
7137,7144,10
7137,7145,10
7138,7139,10
7138,7140,10
7138,7141,10
7138,7142,10
7138,7143,10
7138,7144,10
7138,7145,10
7139,7140,10
7139,7141,10
7139,7142,10
7139,7143,10
7139,7144,10
7139,7145,10
7140,7141,10
7140,7142,10
7140,7143,10
7140,7144,10
7140,7145,12
7141,7142,10
7141,7143,10
7141,7144,10
7141,7145,10
7142,7143,10
7142,7144,10
7142,7145,10
7143,7144,10
7143,7145,10
7144,7145,10
2,3,10
2,4,19
2,9763,1
2,9764,1
2,9765,1
2,9766,1
2,3355,1
2,9767,1
2,9768,1
2,10185,1
2,10186,1
2,10187,1
2,10188,1
2,2310,1
3,4,10
3,9763,1
3,9764,1
3,9765,1
3,9766,1
3,3355,1
3,9767,1
3,9768,1
3,10185,1
3,10186,1
3,10187,1
3,10188,1
3,2310,1
4,9763,1
4,9764,1
4,9765,1
4,9766,1
4,3355,1
4,9767,1
4,9768,1
4,10185,1
4,10186,1
4,10187,1
4,10188,1
4,2310,1
9763,9764,10
9763,9765,10
9763,9766,10
9763,3355,10
9763,9767,10
9763,9768,10
9763,10185,1
9763,10186,1
9763,10187,1
9763,10188,1
9763,2310,1
9764,9765,10
9764,9766,10
9764,3355,10
9764,9767,10
9764,9768,10
9764,10185,1
9764,10186,1
9764,10187,1
9764,10188,1
9764,2310,1
9765,9766,10
9765,3355,10
9765,9767,10
9765,9768,10
9765,10185,1
9765,10186,1
9765,10187,1
9765,10188,1
9765,2310,1
9766,3355,10
9766,9767,10
9766,9768,10
9766,10185,1
9766,10186,1
9766,10187,1
9766,10188,1
9766,2310,1
3355,9767,10
3355,9768,10
3355,10185,1
3355,10186,1
3355,10187,1
3355,10188,1
3355,2310,1
9767,9768,10
9767,10185,1
9767,10186,1
9767,10187,1
9767,10188,1
9767,2310,1
9768,10185,1
9768,10186,1
9768,10187,1
9768,10188,1
9768,2310,1
10185,10186,10
10185,10187,10
10185,10188,10
10185,2310,10
