years,2011,2012,2013,2014,2015,2016,au_num,
mod-145,1,0,0,0,0,0,4
mod-146,1,0,1,0,0,0,2
mod-147,1,0,0,1,0,0,2
mod-148,1,0,0,0,1,1,5
mod-149,1,0,0,0,0,0,6
mod-150,2,1,2,1,2,2,55
mod-151,1,0,1,0,0,0,6
mod-152,1,0,0,0,0,0,5
mod-153,1,0,0,0,0,0,7
mod-154,1,0,0,0,0,0,9
mod-155,1,0,0,0,0,0,7
mod-156,2,1,1,0,0,1,5
mod-157,2,0,0,1,0,2,7
mod-158,1,0,0,0,0,0,3
mod-159,3,0,1,2,0,0,5
mod-160,38,55,47,50,51,36,569
mod-161,1,0,0,0,0,1,21
mod-162,1,0,0,0,0,0,5
mod-163,1,0,0,0,0,0,45
mod-164,1,0,0,0,0,0,4
mod-165,1,0,0,0,0,0,2
mod-166,1,0,2,0,2,1,39
mod-167,1,1,1,0,0,0,3
mod-168,2,0,1,1,0,0,6
mod-169,1,0,0,1,0,1,3
mod-170,1,0,0,0,1,0,11
mod-171,4,4,3,4,0,3,19
mod-172,1,0,0,0,1,1,2
mod-173,35,22,25,27,20,24,113
mod-174,1,0,1,0,0,0,2
mod-175,1,0,0,0,0,0,8
mod-176,1,0,0,0,0,0,2
mod-177,1,0,0,1,1,0,8
mod-178,2,3,0,0,0,0,7
mod-179,1,0,0,0,0,0,13
mod-180,2,0,0,0,0,0,4
mod-181,2,2,1,1,0,3,14
mod-182,2,0,1,2,0,1,31
mod-183,2,0,0,0,0,0,8
mod-184,1,0,1,0,0,0,2
mod-185,2,1,0,0,0,0,9
mod-186,1,0,1,1,0,1,2
mod-187,1,0,0,0,0,0,2
mod-188,1,2,0,1,2,2,4
mod-189,1,0,0,0,0,0,2
mod-190,4,0,1,0,3,1,3
mod-191,1,0,0,0,0,0,8
mod-192,2,0,0,0,0,0,2
mod-193,2,0,0,0,0,0,6
mod-194,1,0,0,0,0,0,3
mod-195,2,0,0,0,0,0,4
mod-196,1,0,0,1,0,0,14
mod-197,1,0,0,0,0,0,3
mod-198,1,0,0,1,1,0,7
mod-199,2,0,0,0,0,0,10
mod-200,87,74,96,116,110,112,1290
mod-201,1,0,0,0,0,0,3
mod-202,2,0,0,1,1,2,4
mod-203,2,0,2,1,1,1,20
mod-204,8,3,2,5,1,0,24
mod-205,1,0,0,0,0,0,5
mod-206,2,1,1,2,3,1,38
mod-207,1,0,0,0,0,0,10
mod-208,2,0,0,0,0,0,8
mod-209,1,1,2,0,0,0,3
mod-210,1,2,0,1,0,0,3
mod-211,3,1,0,0,0,2,5
mod-212,1,0,0,0,0,0,6
mod-213,1,0,0,0,0,0,5
mod-214,17,16,30,27,22,30,358
mod-215,1,0,0,1,1,0,5
mod-216,1,0,1,0,0,0,2
mod-217,1,0,1,0,0,1,2
mod-218,1,0,2,0,1,0,8
mod-219,1,0,0,0,0,0,13
mod-220,1,0,0,0,0,0,7
mod-221,1,4,2,2,0,1,3
mod-222,0,1,0,0,0,0,5
mod-223,0,1,0,1,2,0,13
mod-224,1,1,0,0,0,0,14
mod-225,0,1,0,0,0,1,5
mod-226,18,15,21,16,16,15,349
mod-227,0,1,1,0,0,0,2
mod-228,0,2,0,0,0,0,3
mod-229,0,1,0,1,0,0,3
mod-230,2,4,1,1,1,2,39
mod-231,0,1,0,0,0,0,8
mod-232,2,4,0,0,0,0,6
mod-233,0,1,0,0,0,0,4
mod-234,0,1,0,1,0,0,3
mod-235,0,1,0,0,0,0,4
mod-236,0,1,0,0,0,0,2
