#Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality,pageranks,Authority,Hub
16212,3,28,9,0.220539,0.22652,0,1,6,1,3,0.000152,0.000019,0.000001,0.000001
16213,3,28,9,0.220539,0.22652,0,1,6,1,3,0.000152,0.000019,0.000001,0.000001
16272,2,25,8,0.233169,0.239451,0,1,51,1,1,0.000164,0.000012,0.000001,0.000001
16273,8,94,8,0.235731,0.242612,407.690432,1,51,0.607143,17,0.000528,0.000026,0.000002,0.000002
16274,5,35,8,0.235726,0.242567,0,1,51,1,10,0.000384,0.000017,0.000002,0.000002
16275,5,35,8,0.235726,0.242567,0,1,51,1,10,0.000384,0.000017,0.000002,0.000002
22906,4,44,8,0.232423,0.2384,0,1,51,1,6,0.000249,0.000015,0.000001,0.000001
22907,4,44,8,0.232423,0.2384,0,1,51,1,6,0.000249,0.000015,0.000001,0.000001
19766,13,139,8,0.268656,0.277785,8585.315177,1,51,0.474359,37,0.001181,0.000032,0.00002,0.00002
18904,2,14,8,0.23242,0.23837,0,1,51,1,1,0.000151,0.000009,0.000001,0.000001
16501,9,63,9,0.223343,0.228951,0,1,35,1,36,0.000502,0.000021,0.000002,0.000002
16503,13,153,8,0.27213,0.282338,17119.878397,1,35,0.75641,59,0.001288,0.000028,0.000037,0.000037
16504,13,153,8,0.27213,0.282338,17119.878397,1,35,0.75641,59,0.001288,0.000028,0.000037,0.000037
16505,13,153,8,0.27213,0.282338,17119.878397,1,35,0.75641,59,0.001288,0.000028,0.000037,0.000037
16506,9,63,9,0.223343,0.228951,0,1,35,1,36,0.000502,0.000021,0.000002,0.000002
16507,24,299,8,0.275399,0.286059,366451.155274,1,35,0.380435,105,0.002027,0.000051,0.000048,0.000048
16508,9,63,9,0.223343,0.228951,0,1,35,1,36,0.000502,0.000021,0.000002,0.000002
16911,18,221,8,0.269421,0.280344,2391.602143,1,6,0.418301,64,0.002037,0.000029,0.000056,0.000056
16405,9,70,8,0.265794,0.276068,557.805864,1,6,0.722222,26,0.001077,0.000018,0.000036,0.000036
17019,50,419,7,0.316545,0.331415,117823.372914,1,12,0.323265,396,0.010974,0.000062,0.000587,0.000587
17020,7,49,8,0.253178,0.261336,0,1,6,1,21,0.000587,0.000015,0.000011,0.000011
17021,15,134,8,0.2603,0.269875,96392.751891,1,6,0.352381,37,0.001212,0.000038,0.000023,0.000023
17022,7,49,8,0.253178,0.261336,0,1,6,1,21,0.000587,0.000015,0.000011,0.000011
17811,13,145,8,0.253006,0.261111,405192,1,462,0.487179,38,0.000802,0.000045,0.000008,0.000008
17807,9,107,9,0.20193,0.206048,0,1,462,1,36,0.000456,0.00003,0,0
17808,9,107,9,0.20193,0.206048,0,1,462,1,36,0.000456,0.00003,0,0
17809,9,107,9,0.20193,0.206048,0,1,462,1,36,0.000456,0.00003,0,0
17810,10,125,9,0.201931,0.206062,4,1,462,0.822222,37,0.000503,0.000034,0,0
17812,9,72,9,0.20193,0.206048,0,1,462,1,36,0.000456,0.00003,0,0
17813,9,72,9,0.20193,0.206048,0,1,462,1,36,0.000456,0.00003,0,0
17814,9,72,9,0.20193,0.206048,0,1,462,1,36,0.000456,0.00003,0,0
17815,9,72,9,0.20193,0.206048,0,1,462,1,36,0.000456,0.00003,0,0
17816,9,107,9,0.20193,0.206048,0,1,462,1,36,0.000456,0.00003,0,0
18372,7,52,9,0.208766,0.21404,135088,1,67,0.428571,9,0.000342,0.000033,0,0
18374,3,24,9,0.208761,0.213981,0,1,67,1,3,0.000154,0.000014,0,0
19436,13,127,8,0.257057,0.265684,38.489016,1,76,0.615385,48,0.000983,0.000024,0.000013,0.000013
20349,4,28,8,0.280511,0.29271,0,1,21,1,6,0.002305,0.000008,0.000179,0.000179
23806,16,200,8,0.287108,0.29993,5712.153814,1,77,0.6,72,0.003476,0.000023,0.000198,0.000198
21421,12,113,8,0.272466,0.282281,66862.910013,1,54,0.5,33,0.001372,0.00003,0.000054,0.000054
21422,12,154,8,0.251147,0.258054,196.710162,1,54,0.712121,47,0.0008,0.000026,0.00001,0.00001
22311,17,113,9,0.209128,0.214251,236383,1,6,0.485294,66,0.000863,0.000046,0,0
22317,10,70,9,0.209119,0.214147,0,1,6,1,45,0.000522,0.000026,0,0
22415,2,20,8,0.26236,0.271641,0,1,6,1,1,0.00047,0.000007,0.000029,0.000029
22416,1,10,8,0.262358,0.271626,0,1,6,0,0,0.000416,0.000005,0.000029,0.000029
22643,9,54,9,0.255202,0.264326,0,1,77,1,36,0.00074,0.000019,0.000014,0.000014
22644,9,54,9,0.255202,0.264326,0,1,77,1,36,0.00074,0.000019,0.000014,0.000014
22645,9,54,9,0.255202,0.264326,0,1,77,1,36,0.00074,0.000019,0.000014,0.000014
22646,9,54,9,0.255202,0.264326,0,1,77,1,36,0.00074,0.000019,0.000014,0.000014
22647,9,54,9,0.255202,0.264326,0,1,77,1,36,0.00074,0.000019,0.000014,0.000014
22648,9,54,9,0.255202,0.264326,0,1,77,1,36,0.00074,0.000019,0.000014,0.000014
22649,9,54,9,0.255202,0.264326,0,1,77,1,36,0.00074,0.000019,0.000014,0.000014
22650,9,54,9,0.255202,0.264326,0,1,77,1,36,0.00074,0.000019,0.000014,0.000014
23807,14,162,9,0.261004,0.271466,405.274633,1,77,0.714286,65,0.001415,0.000021,0.000039,0.000039
14385,2,16,8,0.259785,0.26888,0,1,6,1,1,0.000475,0.000009,0.000032,0.000032
14386,2,16,8,0.259785,0.26888,0,1,6,1,1,0.000475,0.000009,0.000032,0.000032
20903,4,36,8,0.271041,0.282081,0,1,40,1,6,0.00113,0.00001,0.000072,0.000072
17929,9,80,8,0.252244,0.261263,1049.47534,1,67,0.583333,21,0.000783,0.000019,0.000026,0.000026
17930,5,30,8,0.252237,0.261204,0,1,67,1,10,0.000577,0.000012,0.000026,0.000026
17709,8,60,8,0.254462,0.2638,67.495953,1,67,0.678571,19,0.000887,0.000017,0.000039,0.000039
22089,7,42,8,0.25813,0.265833,0,1,51,1,21,0.000548,0.000018,0.000009,0.000009
22090,7,42,8,0.25813,0.265833,0,1,51,1,21,0.000548,0.000018,0.000009,0.000009
22091,7,42,8,0.25813,0.265833,0,1,51,1,21,0.000548,0.000018,0.000009,0.000009
22092,7,42,8,0.25813,0.265833,0,1,51,1,21,0.000548,0.000018,0.000009,0.000009
22093,7,42,8,0.25813,0.265833,0,1,51,1,21,0.000548,0.000018,0.000009,0.000009
22094,7,42,8,0.25813,0.265833,0,1,51,1,21,0.000548,0.000018,0.000009,0.000009
14355,7,66,8,0.248772,0.255682,120.859119,1,54,0.47619,10,0.000455,0.000029,0.000006,0.000006
